# Category, Subcategory, ROI, Name, lat, lon_e, size_km, min_lat, max_lat, min_lon_e, max_lon_e, Description, Science Rationale (JUICE Science Objective), UVS, JANUS HR, JANUS COLOR, JANUS STEREO, MAJIS, SWI, RIME, GALA, PEP/RPWI, J-MAG
# 1, 0, #0036fc, Polar Deposits, ---, ---, ---, ---, ---, ---, ---, Surface features where influences of the transition to polar caps onto the compositional/geological properties are expected, Characterize the local environment and its interaction with the Jovian magnetosphere-comparison with Ganymede (CA/GC),,,,,,,,,,
1, 0, 1, Keelut, -77.1, 270.5, 60, -81, -72, 260, 278, Impact crater with a central pit and possibly bright polar deposits on the crater floor, Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1
1, 0, 2, Fulla, 74, 251.9, 900, 53, 85, 229, 263.5, Portion of the northern polar region including impact crater Fulla (~60 km), Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude in comparison to Ganymede at a similar location on the body, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 3, Sköll, 75, 60, 900, 53, 85, 42, 77, Portion of the northern polar region with impact crater Sköll in the SE (~60 km), Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude in comparison to Ganymede at a similar location on the body, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1
1, 0, 4, None, -60.2, 256.5, 900, -85, -53, 229, 263.5, Poorly imaged region of the southern polar cap including a central pit crater with the crater floor possibly covered by polar frost, Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude in comparison to Ganymede at a similar location on the body, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 5, None, 68.4, 331.8, 600, 61, 76, 322, 345, Unnamed impact crater with bright deposits of unkown origin near crater Hepti and Gipul Catena (#4.7.4), Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude in comparison to Ganymede at a similar location on the body, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 6, None, -62.3, 127.1, 800, -78, -54, 118, 148, Poorly imaged group of unnamed bright impact craters with possible polar deposits, Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude in comparison to Ganymede at a similar location on the body, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 7, None, -75, 60, 900, -85, -53, 42, 77, Portion of the southern polar region with numerous impact craters of different sizes possibly partly covered with polar deposits, Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude in comparison to Ganymede at a similar location on the body, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
# 2, 0, #f30302, Potential Cryovolcanic Regions, ---, ---, ---, ---, ---, ---, ---, ---, ---,,,,,,,,,,
# 3, 0, #0a9415, Dark Ray. Floor. Halo Craters, ---, ---, ---, ---, ---, ---, ---, High concentrations of dark material related to fresh impact features, Characterise the outer shell/Determine the composition of the non-ice material (CA/CB),,,,,,,,,,
3, 0, 1, Jalkr, -38.4, 277.5, 93, -42, -35, 273, 281, Comparably pristine dome crater superimposed by a fresh crater and its ejecta deposits characterized by undefined albedo differences, Study dark crater material. Investigate properties and nature and origin of dark crater material in relation to substrate and subsurface properties (dark terrain), 1, 1, 1, 1, 1, 0, 1, 1, 0, 0
3, 0, 2, Yuryung, -54.7, 274.5, 130, -57, -52, 271, 278, Undefined albedo differences on the crater floor, Study dark crater material. Investigate properties and nature and origin of dark crater material in relation to substrate and subsurface properties (dark terrain), 1, 1, 1, 1, 1, 0, 1, 1, 0, 0
3, 0, 3, Biflindi, -53.5, 286.1, 105, -56, -50, 282.5, 289.5, Dome crater with dark deposits along the crater wall, Study dark crater material. Investigate properties and nature and origin of dark crater material in relation to substrate and subsurface properties (dark terrain), 1, 1, 1, 1, 1, 0, 1, 1, 0, 0
3, 0, 4, Nakki, -56.3, 290.2, 110, -59, -53, 287, 294, Dome crater with dark deposits along the crater wall, Study dark crater material. Investigate properties and nature and origin of dark crater material in relation to substrate and subsurface properties (dark terrain), 1, 1, 1, 1, 1, 0, 1, 1, 0, 0
3, 0, 5, None, -42.2, 289.8, 50, -45, -40.5, 288, 292.5, Peciular dark deposits along crater wall in moderately degraded unnamed crater, Study dark crater material. Investigate properties and nature and origin of dark crater material in relation to substrate and subsurface properties (dark terrain), 1, 1, 1, 1, 1, 0, 1, 1, 0, 0
# 4, 0, #9a35ff, Impact Crater Morphologies, ---, ---, ---, ---, ---, ---, ---, Widest variety of crater morphologies on icy bodies, Characterisation of the ice shell; study formation of crater morphologies (CA/ CB),,,,,,,,,,
# 4, 1, #9a35ff, Central Peak Craters, ---, ---, ---, ---, ---, ---, ---, Fresh impact craters with a central peak, Study subsurface properties related to peak formation,,,,,,,,,,
4, 1, 1, None, 37.7, 342.2, 50, 34, 39, 353, 359, Small impact craters with a central peak located in the W part of a heavily degraded unnamed ring structure, Study differences in the formation of peak craters with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 1, 2, None, 52.7, 7.5, 100, 48, 57, 5, 15, Bright possible central peak craters with bright ejecta NE of Valhalla. Additional features: crater chain Geirmivul Catena, Study differences in the formation of peak craters with respect to surface and subsurface properties. Study implications for crustal properties; study impact mechanism in relation to surface and subsurface properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 1, 3, None, 3.6, 9.0, 40, 0, 10, 5, 15, Group of poorly resolved possible peak craters, Study differences in the formation of peak craters with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
# 4, 2, #9a35ff, Central Pit Craters, ---, ---, ---, ---, ---, ---, ---, Impact craters with a central pit, Study geology; composition; subsurface properties related to pit formation,,,,,,,,,,
4, 2, 1, Sigyn, 35.9, 331.0, 55, 31, 39, 328, 337, Bright impact crater with a central pit in the NE portion of Valhalla, Study differences in the formation of pit craters with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
